date,amount,category,description
08-03-2024,1245.00,Income,investment
12-03-2024,317.58,Income,freelance
13-03-2024,63.10,Expense,medical
15-03-2024,19.00,Expense,medical
24-03-2024,33.85,Expense,medical
26-03-2024,22.45,Expense,entertainment
28-03-2024,1820.00,Income,investment
05-04-2024,38.20,Expense,transport
08-04-2024,31.00,Expense,transport
11-04-2024,31.45,Expense,entertainment
14-04-2024,98.35,Expense,transport
18-04-2024,90.00,Expense,food
19-04-2024,66.50,Expense,utilities
29-04-2024,19.99,Expense,utilities
10-05-2024,96.99,Expense,food
13-05-2024,24.30,Expense,transport
16-05-2024,450.00,Income,freelance
19-05-2024,39.90,Expense,entertainment
25-05-2024,21.20,Expense,entertainment
28-05-2024,1125.00,Income,salary
29-05-2024,500.00,Income,freelance
03-06-2024,895.00,Income,investment
04-06-2024,58.00,Expense,shopping
05-06-2024,456.00,Income,bonus
06-06-2024,1320.00,Income,investment
09-06-2024,910.00,Income,investment
13-06-2024,19.99,Expense,entertainment
18-06-2024,1555.25,Income,freelance
20-06-2024,82.30,Expense,shopping
21-06-2024,49.75,Expense,food
21-06-2024,34.99,Expense,entertainment
23-06-2024,26.45,Expense,medical
24-06-2024,88.50,Expense,utilities
01-07-2024,97.99,Expense,shopping
03-07-2024,1980.00,Income,salary
06-07-2024,1315.00,Income,investment
08-07-2024,67.99,Expense,food
10-07-2024,54.00,Expense,shopping
15-07-2024,1785.21,Income,investment
22-07-2024,22.20,Expense,food
23-07-2024,18.25,Expense,medical
28-07-2024,139.99,Expense,shopping
30-07-2024,60.00,Expense,shopping
03-08-2024,1600.00,Income,salary
05-08-2024,27.60,Expense,food
07-08-2024,25.50,Expense,utilities
08-08-2024,38.50,Expense,medical
10-08-2024,72.49,Expense,shopping
14-08-2024,33.80,Expense,utilities
20-08-2024,1820.00,Income,bonus
23-08-2024,54.99,Expense,food
25-08-2024,17.99,Expense,medical
30-08-2024,980.00,Income,gift
01-09-2024,45.90,Expense,food
04-09-2024,43.50,Expense,entertainment
04-09-2024,980.00,Income,freelance
11-09-2024,76.99,Expense,entertainment
12-09-2024,180.10,Expense,shopping
17-09-2024,1825.00,Income,bonus
20-09-2024,1700.00,Income,salary
26-09-2024,145.99,Expense,transport
02-10-2024,1890.00,Income,salary
02-10-2024,35.99,Expense,shopping
10-10-2024,1200.00,Income,bonus
12-10-2024,35.20,Expense,transport
13-10-2024,27.99,Expense,utilities
14-10-2024,47.89,Expense,food
17-10-2024,400.00,Income,freelance
18-10-2024,80.00,Expense,utilities
19-10-2024,84.99,Expense,utilities
22-10-2024,42.00,Expense,transport
02-11-2024,1180.00,Income,salary
05-11-2024,1560.45,Income,freelance
07-11-2024,42.99,Expense,entertainment
09-11-2024,305.32,Expense,shopping
11-11-2024,1620.75,Income,bonus
12-11-2024,33.50,Expense,medical
20-11-2024,40.20,Expense,entertainment
21-11-2024,58.25,Expense,food
26-11-2024,33.75,Expense,food
28-11-2024,41.00,Expense,transport
01-12-2024,1610.50,Income,gift
06-12-2024,120.00,Expense,shopping
07-12-2024,27.00,Expense,entertainment
10-12-2024,1490.90,Income,bonus
15-12-2024,1340.00,Income,bonus
17-12-2024,66.00,Expense,utilities
19-12-2024,206.48,Expense,shopping
22-12-2024,1165.60,Income,freelance
27-12-2024,35.00,Expense,utilities
02-01-2025,1770.00,Income,salary
09-01-2025,64.25,Expense,transport
09-01-2025,59.95,Expense,transport
14-01-2025,25.00,Expense,utilities
16-01-2025,1950.00,Income,salary
17-01-2025,950.00,Income,freelance
27-01-2025,59.99,Expense,medical
28-01-2025,43.60,Expense,food
30-01-2025,70.00,Expense,utilities
31-01-2025,76.00,Expense,medical
01-02-2025,72.35,Expense,transport
03-02-2025,24.99,Expense,entertainment
06-02-2025,1490.00,Income,salary
13-02-2025,1890.00,Income,salary
15-02-2025,1890.75,Income,bonus
06-03-2025,1520.15,Income,gift
